section,height,d13C,d18O
A1,139.50,-0.64,-4.34
A1,140.50,-1.33,-9.43
A1,142.00,-0.59,-4.41
A1,143.50,-1.13,-7.74
A1,143.90,-1.45,-10.08
A1,145.30,-1.00,-8.55
A1,146.30,-2.02,-7.76
A1,147.80,-2.48,-8.34
A1,151.50,-2.55,-8.11
A1,153.00,-1.50,-6.33
A1,154.90,-4.20,-8.67
A1,158.20,-0.84,-10.84
A1,158.20,-1.71,-10.11
A1,159.90,-2.87,-8.77
A1,161.00,0.95,-9.09
A1,163.00,-0.20,-8.54
A1,165.00,-2.44,-6.36
A1,166.00,-1.59,-6.89
A1,167.00,-1.62,-6.95
A1,168.00,0.42,-5.74
A1,169.00,-0.59,-6.53
A1,170.00,-1.14,-7.27
A1,171.00,-3.64,-10.68
A14,35.50,0.91,-2.58
A14,36.50,2.69,-5.37
A14,37.80,2.79,-3.65
A14,42.30,1.65,-3.63
A14,43.30,2.47,-3.45
A14,48.50,3.54,-2.28
A14,49.50,3.04,-2.48
A14,50.50,3.12,-3.04
A14,51.50,2.27,-4.04
A14,52.50,3.21,-3.06
A14,53.50,3.50,-2.62
A14,54.50,3.62,-2.28
A14,55.50,3.73,-3.05
A14,56.50,3.70,-4.53
A14,57.50,1.17,-6.66
A14,58.50,0.41,-6.76
A14,59.50,0.19,-7.21
A14,60.50,-0.72,-8.52
A14,62.50,1.11,-5.69
A14,65.00,-1.90,-5.24
A14,66.00,-3.06,-4.84
A14,67.00,-3.76,-4.57
A14,74.50,-3.86,-7.32
A14,88.00,-0.63,-8.52
A14,89.70,0.18,-8.69
A14,90.70,-1.55,-6.86
A14,91.70,-1.82,-6.76
A14,92.70,-2.48,-7.03
A11,0.30,-1.05,-4.92
A11,1.30,-1.18,-5.87
A11,2.50,-0.98,-5.66
A11,3.50,-1.22,-5.46
A11,4.50,-1.08,-6.64
A11,5.50,-1.30,-6.48
A11,6.50,-1.26,-7.47
A11,9.80,-1.21,-8.95
A11,10.50,-0.84,-9.82
A11,11.50,-0.85,-11.21
A11,12.50,-0.45,-11.42
A11,12.50,-3.21,-14.46
A11,15.50,-4.25,-13.11
A16,4.50,-8.46,-11.84
A16,12.50,-7.15,-14.83
A16,14.50,-5.28,-13.08
A16,15.90,-6.23,-16.12
A16,17.00,-6.58,-15.93
A16,18.00,-6.26,-14.77
A16,22.00,-4.14,-10.19
A16,33.00,-1.54,-5.90
A16,34.00,-0.99,-6.04
A16,35.00,-1.10,-6.06
A16,36.20,-0.59,-6.46
A16,36.20,-0.45,-5.65
A16,37.00,0.07,-5.50
A16,37.00,0.66,-5.53
A16,37.00,-0.97,-9.84
A16,37.00,-1.52,-5.73
A16,39.70,0.24,-5.22
A16,41.70,-0.01,-6.10
A16,42.70,0.18,-6.04
A17,33.00,5.81,-2.09
A17,34.00,4.09,-1.49
A17,35.00,6.41,-0.07
A17,36.00,3.92,-3.00
A17,37.00,6.30,-0.07
A17,38.00,6.23,-0.99
A17,41.00,6.33,-1.40
A17,44.00,2.53,-7.10
A17,46.00,3.49,-3.87
A17,47.00,0.77,-6.70
A17,48.00,0.33,-10.77
A17,49.00,1.47,-7.57
A17,50.00,0.96,-7.97
A17,51.00,0.79,-9.36
A17,53.00,1.28,-8.36
A17,56.00,0.84,-7.81
A17,69.00,3.16,-5.52
A17,71.00,1.80,-6.81
A17,71.50,3.07,-7.61
A17,72.00,2.25,-8.02
A17,81.50,1.75,-8.73
