Name,Dates,Start_Lat,Start_Lon,End_Lat,End_Lon,Datum,,,,,,,,,,,,,,,
Hongzixi,24/05/16-29/05/16,27.98858553,108.7938774,28.03035788,108.8142801,WGS84,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
THICKNESS,LITHOLOGY,GRAIN_SIZE,COLOUR,FEATURES,HASH,,ASH,ASH_HEIGHT,,DZ,DZ_HEIGHT,,PM_SITE,PM_SAMPLE,PM_HEIGHT,,CHEM_SAMPLE,CHEM_HEIGHT,CHEM_d13C,CHEM_d18O,CHEM_87Sr/86Sr
19.5,si,sts-vfss,purple-green,,,,,,,,,,16TR006,Y,266.59,,s53,577.9,5.538,-4.068,
9.1,si,sts-vfss-tuff,tuff,,,,,,,,,,16TR006,Z,266.96,,s54,588.4,5.437,-6.067,
14.8,si,sts-vfss,purple-green,,,,,,,,,,16TR006,AA,267.21,,s55,598.1,4.612,-7.314,
15,cover,cover,cover,,,,,,,,,,16TR007,A,282.29,,s56,611.6,5.955,-4.295,
31.8,si,sts-vfss,purple-green,,,,,,,,,,16TR007,B,282.67,,s57,622.9,4.503,-5.746,
6,si,sts-vfss,green,,,,,,,,,,16TR007,C,282.68,,s58,627,5.339,-4.853,
13.5,si,sts-vfss,green,tectonized,,,,,,,,,16TR007,D,282.69,,s59,632.3,5.683,-5.405,
63,si,sts-vfss,green,,,,,,,,,,16TR007,E,283.25,,s60,649.1,4.12,-9.075,
22.5,si,vfss,beige,,,,,,,,,,16TR007,F,283.36,,s61,659.6,6.018,-5.917,
30,si,sts-vfss,green,,,,,,,,,,16TR007,G,283.63,,s62,678.4,5.719,-5.982,
9,si,vfss,beige,tectonized,,,,,,,,,16TR007,H,283.68,,s63,694.9,6.641,-5.501,
6,si,vfss,beige,,,,,,,,,,16TR007,I,284.15,,s64,700.1,6.595,-3.813,
105.6,si,sts-vfss,green,,,,,,,,,,16TR007,J,285,,s65,709.5,6.463,-5.244,
39.4,si,sts,purple,,,,,,,,,,16TR007,K,285.25,,s66,716.3,6.454,-5.152,
2.7,cover,cover,cover,,,,,,,,,,16TR007,L,286.77,,s67,723.8,6.727,-4.748,
1.2,si,sts,green,,,,,,,,,,16TR007,M,287.64,,s68,730.1,6.719,-5.226,
0.8,cover,cover,cover,,,,,,,,,,16TR007,N,289.12,,s69,738.8,6.799,-4.466,
4.3,si,sts,purple,,,,,,,,,,16TR007,P,289.17,,s70,749.3,6.61,-4.655,
0.5,si,sts,green,,,,,,,,,,16TR007,Q,289.26,,s71,758.6,6.701,-2.889,
35.6,si,sts,purple,,,,,,,,,,16TR007,R,289.38,,s72,766.9,6.89,-4.04,
1.5,cover,cover,cover,,,,,,,,,,16TR007,S,290.33,,s73,773.6,6.097,-4.343,
9.2,si,sts,purple,,,,,,,,,,16TR007,T,293.96,,s74,780.8,5.819,-4.715,
0.01,tuff,tuff,tuff,,,,,,,,,,16TR007,U,295.07,,s75,790.1,6.525,-4.862,0.706593439
8.29,si,sts,purple,,,,,,,,,,16TR007,V,295.2,,s76,795.4,6.44,-4.684,
3,cover,cover,cover,,,,,,,,,,16TR007,W,296.36,,s77,803.3,6.65,-4.654,
5.1,si,sts,purple,tectonized,,,,,,,,,16TR007,X,297.77,,s78,812.6,6.892,-5.525,
21.5,si,sts,purple,,,,,,,,,,16TR007,Y,297.89,,s79,816.8,7.264,-3.632,
49.5,cover,cover,cover,,,,,,,,,,16TR007,Z,298.07,,s80,829.1,6.887,-4.065,
5.8,si,sts,purple,,,,,,,,,,16TR007,AA,298.11,,s81,835.9,6.995,-3.682,
0.9,si,sts,purple,tectonized,,,,,,,,,16TR008,A,349.7,,s82,839.3,6.428,-3.435,
0.8,si,sts,purple,,,,,,,,,,16TR008,B,350.2,,s83,844.5,6.253,-4.691,
0.4,tuff,tuff,tuff,,,,,,,,,,16TR008,C,350.21,,s84,849.8,7.002,-4.827,
0.5,si,sts,purple,,,,,,,,,,16TR008,D,351.44,,s85,859.1,6.891,-5.743,
0.5,tuff,tuff,tuff,,,,,,,,,,16TR008,E,351.71,,s86,865.1,7.109,-5.539,
2.5,si,sts,purple,,,,,,,,,,16TR008,F,351.74,,s87,870.8,7.089,-5.522,
0.9,cover,cover,cover,,,,,,,,,,16TR008,G,352.6,,s88,871.1,6.816,-4.242,
9.5,si,sts,purple,,,,,,,,,,16TR008,H,353.26,,s89,871.1,16.429,5.372,
130.5,cover,cover,cover,,1,,,,,,,,16TR008,I,360.82,,s90,871.1,7.078,-4.086,
12.7,si,sts,purple,,,,,,,,,,16TR008,J,361.96,,s91,880.1,5.266,-10.574,
52.5,cover,cover,cover,,,,,,,,,,16TR008,K,365.53,,s92,880.1,6.553,-11.601,
16.1,si,sts,purple,tectonized,,,,,,,,,16TR008,L,368.21,,s93,889.9,6.682,-11.082,
79.2,cover,cover,cover,,2,,,,,,,,16TR008,M,368.32,,s94,889.9,6.829,-12.363,
6.3,si,sts-vfss,green,,,,,,,,,,16TR009,A,404.65,,s95,893.3,6.946,-7.904,
18.4,cover,cover,cover,,,,,,,,,,16TR009,B,407.15,,s96,900,6.863,-12.468,
18,si,sts-vfss,green,,,,,,,,,,16TR009,C,409.1,,s97,900,5.859,-8.828,
9,si,sts-vfss,green,tectonized,,,,,,,,,16TR009,D,404.63,,s98,904.9,5.841,-6.795,
15.7,si,sts-vfss,green,,,,,,,,,,16TR009,E,420.4,,s99,909,4.913,-9.209,
67.3,cover,cover,cover,,3,,,,,,,,16TR009,F,421.46,,s100,912,5.165,-10.988,
5.2,si,sts-vfss,green,,,,,,,,,,16TR009,G,421.69,,s101,916.9,5.12,-12.271,
4.8,cover,cover,cover,,,,,,,,,,16TR009,H,421.88,,s102,928.1,6.534,-10.623,
8,si,sts-vfss,purple-green,,,,,,,,,,16TR009,I,423.15,,s103,936.4,6.513,-6.008,
3.7,si,sts-vfss,green,,,,,,,,,,16TR009,J,424.58,,s104,936.4,6.363,-7.163,
0.4,tuff,tuff,tuff,,,,,,,,,,16TR009,K,424.6,,s105,937.5,6.535,-12.007,
3,si,sts-vfss,green,,,,,,,,,,16TR009,L,425.53,,s106,937.5,6.446,-6.042,
4.5,cover,cover,cover,,,,,,,,,,16TR009,M,426.04,,s107,945,6.611,-9.597,
14.3,si,sts-vfss,green,,,,,,,,,,16TR009,N,429.12,,s108,948.8,6.909,-11.731,
9.2,cover,cover,cover,,,,,,,,,,16TR010,A,533.9,,s109,960.8,6.51,-8.76,
6.5,si,sts-vfss,green,,,,,,,,,,16TR010,B,533.98,,s110,966.4,6.749,-9.282,
